place_id,name,reviews,main_category,categories,rating,address,link,query,description,is_spending_on_ads,competitors,website,can_claim,owner_name,owner_profile_link,featured_image,workday_timing,is_temporarily_closed,closed_on,phone,review_keywords
ChIJCTFWNGJnUjoRRrZvTwEEO1k,Reliance Digital,1895,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"Shop No LG36, Cricket Ground, Market City, Velachery Main Rd, near GURU NANAK COLLEGE, Indira Gandhi Nagar, Velachery, Chennai, Tamil Nadu 600042",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a52676234563109:0x593b04014f6fb646!8m2!3d12.991225!4d80.2219801!16s%2Fg%2F124sqrszk!19sChIJCTFWNGJnUjoRRrZvTwEEO1k?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJB3KJft1nUjoRXPTlwiVNPmM,Reliance Digital,3104,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.9,"UGF Nexus, Vijaya Mall, No 183/188, TS No 5, 1 & 3 to 5, Arcot Rd, Vadapalani, Chennai, Tamil Nadu 600026",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5267dd7e897207:0x633e4d25c2e5f45c!8m2!3d13.0497984!4d80.2093678!16s%2Fg%2F11tjpwzz5b!19sChIJB3KJft1nUjoRXPTlwiVNPmM?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJIcVfQctnUjoRtw-8mtvioIQ,Reliance Digital,624,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.3,"No 42/2, 44/2 & 3, N Usman Rd, T. Nagar, Chennai, Tamil Nadu 600017",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5267cb415fc521:0x84a0e2db9abc0fb7!8m2!3d13.0508105!4d80.2335644!16s%2Fg%2F11h_wmcs5j!19sChIJIcVfQctnUjoRtw-8mtvioIQ?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJW74vVOFjUjoR0_diensYboY,Reliance Digital,2851,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"Plot No, 3 & PC 11, Kambar St, near Bus Depot, Mogappair West, Mogappair, Tiruvallur, Chennai, Tamil Nadu 600037",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5263e1542fbe5b:0x866e187b7a62f7d3!8m2!3d13.0837019!4d80.170525!16s%2Fg%2F1hc8fb_4z!19sChIJW74vVOFjUjoR0_diensYboY?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJqaWFUL9hUjoRNKURYkIOd7k,Reliance Digital,888,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"1st & 2nd Floor, Door No 82, Plot A, Arcot Rd, Majestic Colony, Valasaravakkam, Tiruvallur, Tamil Nadu 600087",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5261bf5085a5a9:0xb9770e426211a534!8m2!3d13.0417829!4d80.1801049!16s%2Fg%2F11f7761267!19sChIJqaWFUL9hUjoRNKURYkIOd7k?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJV-XUiOFjUjoRD6r7bDUAXN0,Reliance Digital,532,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.9,"No 269, Ground & 1st Floor Brittania, Thangam Lodge, Madras Thiruvallur High Rd, Kamaraj Nagar, Padi, Chennai, Tamil Nadu 600050",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5263e188d4e557:0xdd5c00356cfbaa0f!8m2!3d13.099121!4d80.1835328!16s%2Fg%2F11v6nmqx6g!19sChIJV-XUiOFjUjoRD6r7bDUAXN0?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJTyorIlhnUjoRMEJo6Fw-DeE,Reliance Digital,2718,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"Block W119, 34, 3rd Ave, opposite Kandaswamy Naidu College, W Block, Anna Nagar, Chennai, Tamil Nadu 600040",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a526758222b2a4f:0xe10d3e5ce8684230!8m2!3d13.0871934!4d80.2176854!16s%2Fg%2F11hytmpbd1!19sChIJTyorIlhnUjoRMEJo6Fw-DeE?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJNZ2ZO_9lUjoRLPs5hyfBq2c,Reliance Digital,1450,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.1,"2nd Floor, VR Mall, Thirumangalam, Koyambedu, Chennai, Tamil Nadu 600040",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a5265ff3b999d35:0x67abc1278739fb2c!8m2!3d13.0792925!4d80.1977597!16s%2Fg%2F11g1kt6nqs!19sChIJNZ2ZO_9lUjoRLPs5hyfBq2c?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJ5Zly6xpmUjoRCtVU2R_s_mo,Reliance Digital,906,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4,"No 47, Ground & 1st Floor, Meco House, Mount Rd, Border Thottam, Padupakkam, Annasalai, Chennai, Tamil Nadu 600002",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a52661aeb7299e5:0x6afeec1fd954d50a!8m2!3d13.0666015!4d80.2703314!16s%2Fg%2F11bztgyr8z!19sChIJ5Zly6xpmUjoRCtVU2R_s_mo?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
ChIJK863Hi1mUjoRzULo83AiXeA,Reliance Digital,2079,Electronics store,"Electronics store, Appliance store, Cell phone accessory store, Computer accessories store, Refrigerator store",4.3,"No 201, Guru Towers, Royapettah High Rd, Vinayagar Kovil, Luz, Mylapore, Chennai, Tamil Nadu 600004",https://www.google.com/maps/place/Reliance+Digital/data=!4m7!3m6!1s0x3a52662d1eb7ce2b:0xe05d2270f3e842cd!8m2!3d13.0383521!4d80.2677095!16s%2Fg%2F11b7hm_316!19sChIJK863Hi1mUjoRzULo83AiXeA?authuser=0&hl=en&rclk=1,reliance digital in chennai,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****,*****
